movie	Prodiem Plain
drug		Maximum Strength SnapBack Stimulant Powders
movie		The War Behind the Wire
person		Rolf M. Zinkernagel
drug		Trinidad and Tobago
drug		Humulin-N
movie		Chasing the Big Ones 3
drug		Dodewaard
movie		Si fa presto a dire amore...
company		Mmi Products Inc.
place		Husborne Crawley
place		Cinderella
drug		Celestine II
person		Alfred Werner
drug		Urex
drug		Oxy Night Watch Night Time Acne Medication Extra Strength Lotion
movie		T.R.A.X.
place		Vent de colère
company		Boulder Total Return Fund Incorporated
company		Dan River Inc.
drug		Cee-500
drug		Bedazzled
place		Kunwara
movie		Kleistoi dromoi
place		Lorraine
company		Harris Corporation.
drug		Yocavil
movie		Frank Herbert's Dune
person		Charles Brianchon
drug		Ogen 1.25
movie		Yes, Dear
place		Knightswood
company		Manpower Inc.
person		Edward V
drug		Palafer
company		Time Warner Capital I
movie		Enter
drug		ANTIVENIN
movie		Mysterious Object at Noon
drug		Sleep-Eze D 10
place		Downpatrick
place		Peebles
person		Alan L. Bean
movie		D-dag - Instruktørene
movie		Initiations 2
place		Llanfyllin
person		Christopher Clavius
movie		Shadow of the Blair Witch
movie		Atle Selberg
drug		DermaZinc Cream
movie		Sideways
person		Detroit Edison
person		Michael J. Bloomfield
company		World Wrestling Federation Entertainment, Inc.
person		James Spader
drug		Minims Phenylephrine
drug		Fleet Laxative 26
person		William Clifford
place		Gosforth (Cumbria)
drug		Novahistex DH Expectorant 128
movie		Terry Eichler: Beyond Duc My
company		Mead Corporation.
drug		Dialose 44
company		National Australia Bank Ltd.
place		Dewsbury
drug		Peptol
person		Bud Freeman
movie		Now or Never
movie		24fps
drug		Hydrocodone with APAP
drug		Ocu-Tropine
person		George Darwin
drug		Peroxide Passion
company		Texas Instruments Inc.
person		Roger Bresnahan
place		Waldbronn
place		Armthorpe
movie		Les Sables-d'Olonne
company		Lasmo Plc
drug		Methacort 80
person		Nick Green
place		Sheep
person		Barbara Welther
drug		Uni-Multihist D 23
company		Viasystems Group Inc
drug		Bromfenex
drug		Polycitra-K
movie		Charge!
place		Reims
movie		Jimmy Smits
person		Benedict I
drug		Deconhist
drug		Trans-Ver-Sal
drug		Gentle Laxative 26
place		Lemmer
movie		Shovite
person		Word of Honor
drug		Isocal
movie		Lewd Conduct 9
drug		Riopan 23
movie		Kadian
person		Jean Richer
drug		Norethin 1/50M
movie		Travel Daze
drug		A-200 Shampoo Concentrate
place		Lydd
person		Larry King
movie		Jojo la frite
drug		Orbenin
drug		Team Spirit
drug		Desquam-X 5 Gel
movie		The Gang
drug		Depacon
person		John Leech
company		Bay View Capital I
company		Swisscom Ag
person		John M. Chivington
person		Carl Gustaf Verner Von Heidenstam
movie		Versel Lotion
movie		Polizeiruf 110 - Bruderliebe
drug		Prelu-2
movie		Donald Duck Goin' Quackers
movie		Unreal Ads
drug		Epicentre
place		Camperdown
movie		Harem of Madame Osmane
movie		Margaret Sanger
movie		Kintore
movie		DiabetiSource
drug		Gyne-Lotrimin
movie		Les Belles histoires des Pays-d'en-Haut
movie		Sir John Warcup Cornforth
drug		SMA Lo-Iron 24
drug		Ornex No Drowsiness Caplets
company		Plc Cap Tr I
movie		Oliver i Olivera
movie		Dogwoman: Dead Dog Walking
movie		Menunggu pelangi
place		Todmorden
company		Packaging Corporation Of America
movie		Pleasure Point
movie		Strijen
place		Fajardo
movie		Pressyn
company		Metals Usa, Inc.
drug		Neo-Calglucon
movie		Down to You
place		Swaffham Bulbeck
person		Leviathan Gas Pipeline Partners L.P
company		Texas Utils Co
movie		Chi chung sze loi liu
movie		Fedl Home Ln Mtg
place		New Milton
person		Gaja Gamini
company		Vishay Intertechnology Inc.
place		Heddon-on-the-Wall
person		Gertrude B. Elion Perlman
movie		Wonder Boys
person		Bruce Willis
drug		Sensorcaine Forte
drug		Statex Drops
movie		O Delfim
company		Policy Management Systems Corporation.
place		Montrouge
place		Apollo
movie		The Genocide Factor
movie		Laughter in the Dark
drug		Tussogest 117
person		Gertrude Rainey
place		Rainham (Greater London)
movie		Anna en Corse
drug		Staphcillin
place		Margaret Burbridge
company		The Germany Fund, Inc.
company		Arden Realty Inc.
movie		Sabor a ti
movie		Goodbye & Hello
drug		Piloptic-4
drug		Apo-Indomethacin
place		Hercules
movie		Rebus: The Hanging Garden
person		Richard C. Holbrooke
person		Jarrett & Labonte Stock Car Racing
drug		Diocto 44
drug		Menaval-20
place		Glaucon
company		Pure Resources, Inc.
drug		Alkets 18
drug		Benzfetamine
place		Elton John
company		Colonial Investment Grade Municipal Trust
person		Adeodatus
person		Anatomy of Disgust
movie		Westward Ho!
movie		Hot Latin Pussy Adventures 7
drug		Plotinus
movie		Ciudad de M
place		Courbevoie
person		Pierre Léon Boutroux
person		Lewis Strauss
drug		Arthrotec 75
drug		Os-Cal 500 Chewable
place		Wallasey
movie		Lian zhan chongsheng
movie		Páratlan
drug		Relafen 12
drug		Nyngan
person		Josif Shtokalo
drug		Detector
company		Correctional Properties Trust.
movie		Un Colpo al cuore
movie		Caribbean Undercover
person		Carroll J. Guillory
drug		Astracaine 4% Forte
drug		Novotriptyn
place		Pewsey
drug		Bronalide
place		Indifference
drug		Olavi Paavolainen
company		Van Kampen High Income Trust II
movie		Opening the Tombs of the Golden Mummies: Live
place		Heidenheim
movie		The Film Biker
place		Yemen
movie		Cambodia
person		Ellen S. Baker
company		Animated Corpse
drug		Lacril
drug		Paludrine
person		Boniface II
movie		Intimate Portrait: Janis Joplin
place		Mijoux
movie		You'll Do
place		Dunoon
drug		Aphthasol
movie		Rituals and Resolutions
movie		Ass Lovers
place		Malawi
movie		White Lightning
drug		Oreticyl
movie		E-400 I.U. in a Water Soluble Base
drug		Hawaiian Tropic Land Sport 33
person		Edward III
drug		Dimetapp Chewables
drug		Cortisol
place		Misstoestanden
movie		Gesté
drug		Tristatin II
person		Charlotte Scott
movie		Unauthorized Brady Bunch: The Final Days
movie		Thomas the Falconer
person		Konrad Zuse
drug		Excedrin Migraine
drug		Germinal Dandelin
person		George Washington
movie		Komédiások
place		Bishopton
movie		Persian Series #6
place		Mali
company		Kinder Morgan Energy Partners L.P
movie		The Way of the Birds
place		Robinul
company		Smith Charles E Residential Realty Inc.
company		Gucci Group N V
movie		Il Cielo cade
place		Hawick
movie		Bucet
person		Genevieve M. Knight
movie		Amor, curiosidad, Prozac y dudas
movie		To the End of the Road
drug		Lufyllin
company		Kimberly Clark Corp
place		Window
drug		Arthritis Strength Bufferin
movie		The Heart's Root
movie		Wild Bill Hickok
drug		Lotrimin AF Cream
drug		Cort-Dome
company		The Blackrock Insured Municipal 2008 Term Trust Inc.
place		Wadhurst
place		Crowthorne
movie		Welcome to New York
movie		BWP2
movie		Quand j'étais petit
movie		The Moving of Sophia Myles
movie		De Stilte...
drug		Pedvaxhib
movie		Acts of Worship
drug		Actisite
place		Tales of an Island
company		Pitney Bowes Inc
drug		Bisacolax 26
company		Healthcare Rlty Tr
drug		Epival
drug		Threamine DM 31
person		Tobey Maguire
person		Hugh Duffy
company		In Appartment Buildings People Are Crazy About Music
person		Oronce Fine
person		Ladislaus Bortkiewicz
drug		Maltsupex
movie		Florence Court
movie		Nellie Bly
place		Llanrug
place		Obernai
drug		Skelex
drug		Otrivin Measured-Dose Pump with Moisturizers
movie		The Mystery of Spoon River
movie		Friendly Persuasion: Iranian Cinema After the Revolution
movie		Tokyo Raiders
drug		PMS-ASA
person		Rachel Robinson
place		Billy Graham
place		Handforth
movie		Real Things
drug		Theoclear-80
movie		Leyendas de fuego
movie		Dear America: When Will This Cruel War Be Over?
place		Helston
movie		Viimeiset mitalit
drug		Norfranil
person		David R. Williams
movie		Die Insel der Vergessenen
movie		Mousehole
drug		Proplex T
place		Isaac Newton
drug		Triphasil
person		Belz Richard
company		CVS Corporation
person		Alice Hayes
movie		Delta Force: Land Warrior
drug		Sudafed Cough & Cold Extra Strength Caplets 124
movie		Tenshi no rakuen
company		El Paso Energy Partners L P
drug		Nu-Loraz 12
drug		N.E.E. 1/50
movie		Nightwalker: Midnight Detective
person		Petrus Josephus Wilhelmus Debye
drug		Alice
movie		Romeo and Juliet
place		Heidelberg
drug		Novo-Dipiradol
place		Yohimar
company		Ek Chor China Motorcycle Co.
drug		Totacillin
person		Daniel M. Tani
drug		Pedialyte Freezer Pops
place		Uithoorn
drug		Requip
movie		Vies
company		Prospect Street High Income Portfolio Inc.
drug		Duralone-80
movie		Russia's Wonder Children
place		Sprang-Capelle
drug		Ligne 208
person		Candice Bergen
drug		Ornade Expectorant 95
drug		Top Tens
place		Tiverton
company		Readers Digest Associates Inc.
movie		The Flunky
company		Cooper Cameron Corporation.
drug		Poly-Histine-DM 21
movie		The Pretenders
movie		Street Love
movie		Severo Ochoa
place		Westerham
movie		Ein Mensch wie Dieter - Golzower
company		American Municipal Term Trust Inc.
company		BRADY CORP
place		PennEngineering
drug		Glucotrol
place		Montmorency
movie		Seven Hours to Burn
place		Glow
drug		Daraprim
person		Adriaan Vlacq
person		Leon M. Lederman Lederman
drug		Neosporin Ophthalmic Ointment
movie		Luciano's Face Up Ass Down
company		Nuveen Arizona Premium Income Municipal Fund
movie		Distribución y Servicio (D&S)
person		Charles Louis Alphonse Laveran
person		William Howard Taft
person		Peter J. K. Wisoff
movie		Phidias
drug		Medrol
movie		Sharing the Secret
movie		The Horror of...
company		Nuveen Insured New York Select Tax-Free Income Portfolio
person		Pauline Frederick
person		Linus Pauling
place		Seychelles
movie		Life with Big Cats
drug		Amgenal Cough
movie		The War Next Door
movie		Rio Blanco
drug		Neotal
person		Goerg Henrik Von Wright
company		UAL Corporation.
movie		41 Shots
drug		AeroBid-M
place		Turbulence
movie		Tribute to Alfred Lepetit
movie		Stranger with a Camera
place		Daybreak
drug		Zerit
place		Kingsford
movie		Un enfant, un secret
person		Mia Farrow
movie		Star Wars: Episode I - Jedi Power Battles
person		Our Journey
movie		Yung wong jik chin
person		Luigi Grandi
drug		Gravol I/V
movie		Nessundorma
place		Blood
drug		Colorado
person		George Bernard Shaw
person		Dianne Feinstein
movie		Frankie Goes to Hollywood: Hard On
drug		Os-Cal
person		Charles Pears
movie		Spinning Gasing
place		Corris
place		Southwark
movie		Les Autres filles
drug		Ethyl aminobenzoate
drug		Calmylin #1
drug		FML Liquifilm
person		Theodor Reye
company		The Swiss Helvetia Fund, Inc.
movie		Gilligan's Island: The E! True Hollywood Story
movie		Legacy of a Kidnapping: Lindbergh and the Triumph of the Tabloids
person		Wilhelm Wirtinger
movie		Riesa
place		Liechtenstein
place		Thales of Miletus
movie		Sens
movie		Steps to the Stars
person		Friedrich Schottky
drug		Sal-Acid Plaster
movie		Attack of the Killer Hog
drug		Ibu-200
movie		Tommaso Boggio
drug		Alti-Triazolam 18
drug		405
drug		Amazon
company		SensoGARD Canker Sore Relief
movie		IIFA Awards
movie		Ajax: De film
place		Claye-Souilly
movie		Die Nacht der Engel
drug		Nalfed-PD
place		Barakah
movie		Prescot
drug		Novolin ge Lente
place		Travemünde
movie		The Leatherwoman
place		Russo
person		Fred W. Haise
company		UnumProvident Corporation
movie		Extremism Breaks My Balls
company		Katy Inds Inc
movie		Serenades
company		Alberto Culver Co.
drug		Nu-Ampi
company		Noble Affiliates Inc.
drug		Sublimaze
place		Banditskij Peterburg
drug		D-S-S 44
person		Charles E. Brady, Jr.
drug		Nasatab LA 142
place		Glengormley
movie		Cursed
movie		Kurosufaiâ
movie		Song of the Sea Otter
movie		Lázaro de Tormes
place		Tomsk
movie		The John Report with Bob
place		Sockbridge
drug		Neo-Synephrine
company		Thomas Industries Inc.
person		Edouard Manet
person		Otto Manninen
company		Nuveen New York Quality Income Municipal Fund
movie		Headache Tablet
place		Niebüll
movie		Siostry
movie		Seom
drug		Solomon Islands
place		Woodchester
place		Crowhurst
drug		Oralone
movie		Superstar Female Serial Killer
movie		The Child
movie		The Weight of Water
movie		Sidney Poitier, One Bright Light
movie		Cashier Wants to Go to the Seaside
movie		Freising
person		Dr. Dean Ornish
movie		Brethine
person		Alfred Hermann Fried
place		Haberfield
place		Rejseholdet
movie		Balsall Common
place		Shipston on Stour
person		Rosamunde Pilcher - Zerrissene Herzen
place		Spean Bridge
movie		Dear America: A Line in the Sand
person		William Butler Yeats
drug		Norinyl 1+50
movie		Rhodia
place		Herakles
movie		The Etiquette Man
drug		Dormarex 2 10
company		Capital Re LLC
person		Michael P. Anderson
drug		Statuss Green 39
drug		Tussi-Organidin NR Liquid 106
company		Eog Resources Incorporated
company		Stieg Trenter
movie		Happy Birthday
person		David H. Hubel
drug		Guaifenex PPA 75 141
place		Colmar
movie		Barrack Heights
company		American Finl Cap Tr I
movie		Kate Kirby
drug		Topicaine
place		Willingham
person		Jarrow
drug		Exgest LA 141
company		White Mount Ins Grp Ltd Berm
place		Pontefract
drug		Gynol II Extra Strength Contraceptive Jelly
drug		Desenex Powder
drug		Senna-Gen 35
drug		Moban
company		Unisys Corp
person		George Foster
drug		Dolgesic
drug		Nilstat
movie		Divided We Fall
company		Terra Industries Inc.
person		Matthew B. Ridgway
person		Leonard Wood
drug		Testred
company		San Paolo-Imi S P A
drug		Cold & Cough Medicine TheraFlu Maximum Strength Non-Drowsy Formula Flu124
place		Ahlen
company		Goodrich Petroleum Corporation
drug		Norgesic Forte
place		Blackwater
movie		Les Soeurs Lumière
company		Moore Corporation Ltd
person		Plain Love III
person		John Burkill
movie		Plaits
movie		Bain de Soleil Mega Tan 26
drug		Bromo-Seltzer
movie		Freddie Mercury, the Untold Story
person		Claude Debussy
drug		Antacid Liquid
person		Eddie Plank
movie		La Moderna poesia
company		Nuveen New York Select Quality Municipal Fund
drug		Tavist
drug		Phentercot
place		Moretonhampstead
drug		Calamox
movie		À ma soeur!
place		Buffon
person		Jesse Owens
person		Ulysses Simpson Grant
drug		Hydromox
place		Tollesbury
place		Salzhemmendorf
person		Mary Todd Lincoln
place		Sync
drug		Select 1/35
drug		Sinutrol 500 Caplets
company		Pharmacia Corporation
company		Readers Digest Association Inc.
place		Busby
drug		Isocaine 2%
drug		Flaxton
person		Robert O'Hara Burke
place		South
movie		Angels!
drug		3-D Safari
movie		Sandra et les siens
person		Michel Rolle
drug		Premarin with Methyltestosterone
drug		Dostinex
movie		Hassel - Förgörarna
place		Whittington
place		Clare
person		ibn Sina
company		Tesoro Petroleum Corporation.
place		Blackburn (Lancs.)
place		Rylstone
movie		Black Widow
drug		Sharon Christa McAuliffe
person		Cal Ripken, Jr.
movie		Lies... In Love
movie		Mandelieu la Napoule
movie		Wilder Kaiser - Das Duell
company		Seacor Smit Inc.
drug		Propine
person		Miguel Angel Asturias
place		South Stoke
drug		TMO
movie		On Grandma
person		Ernest Miller Hemingway
drug		Apo-Terfenadine 15
movie		Haboleshet Hokeret
person		Sir Ronald Ross
person		Willis Carrier
person		David Spade
movie		Je werk of je leven: Hoe lang moet jij nog?
company		Dril-Quip, Inc.
person		Le Vélo de Ghislain Lambert
movie		'N Sync: 'Ntimate Holiday Special
drug		Pandaemonium
movie		Petite chérie
movie		Barking and Dagenham
movie		From the Big Bang to Tuesday Morning
movie		Un possible amour
drug		Dimetane-DC Cough 20
place		Kirknewton
person		Gregory VIII
movie		Polizeiruf 110 - La Paloma
drug		Ectosone Scalp Lotion
company		Brandywine Realty Trust
place		Ceres
person		William Hamilton
place		Haaren
movie		The Hollywood Sign
person		John Lincoln
person		G. David Low
place		Meridia
movie		Home Sweet Home
drug		Reguloid Natural
place		Baud
drug		Vasocon Regular
place		Conon
person		John XXI
place		Mayhem
company		United Parcel Service, Inc.
drug		Klotrix
movie		Posledná vecera
person		Mario Andretti
drug		Procardia XL
company		Wendys Fing I
place		Cremains
place		Crawley
drug		PreSun Moisturizing 49
company		The Greater China Fund, Inc.
drug		Suprefact
place		Chuck
company		Mexico City
drug		Genora 0.5/35
movie		Bonhoeffer - Die letzte Stufe
drug		Genatuss DM 109
place		Arkansas
company		Monaco Coach Corpration
movie		Race for the Poles
place		Weybridge
movie		Winds of Passion
drug		Tridesilon
drug		Kenalog-10
drug		Vicks NyQuil Multi-Symptom Cold/Flu LiquiCaps 60
drug		1900 USA
place		Bronx-Barbès
person		K. Alexander Müller
movie		Robert's Rescue
place		Rosmalen
person		All You Can Eat Pharmacy
person		Knut Hamsun
person		Etienne Pascal
person		Louis Vierne
company		Theragenics Corporation.
movie		3 Strikes
movie		101 Rent Boys
drug		Akne-Mycin
place		Le Glandeur
drug		Zephrex-LA 142
drug		Usx Marathon Lg-Tm
movie		The Calling
movie		Ramlah bint Abi Sufyan
person		I Know I'll See Your Face Again
person		Hank Williams
company		Flowers Industries Inc.
place		Bungwahl
place		Cheltenham
drug		Naphill
place		Hoo St. Werburgh
movie		Diary of Lust
movie		Das Herz eines Priesters
drug		Betaloc Durules
place		Escaflowne
company		Edison International.
place		Ratingen
drug		VIRACEPT
drug		Maximum Strength Gas Relief
place		Rat
movie		Free Fall
person		Sir Hans Adolf Krebs
drug		Gas-X Extra Strength
movie		Our Song
company		Blyth Industries Inc.
company		Cablevision Sys Corp
drug		Scone
place		Lealholm
company		Winston Hotels, Inc.
person		Ronald E. McNair
drug		Dunstable
person		David Lloyd George
company		British Steel Plc
company		Wynns International Inc.
drug		Ser-A-Gen
drug		Halotussin-DM 109
place		Checkendon
company		Tremont Corporation
place		Monschau
drug		Zincate
drug		Haltran
drug		Spectro-Chlor Ophthalmic Solution
movie		Vaseline Extra Defense for Hand and Body 41
movie		Titkos szeretök
person		Maria da Lourdes Pintasilgo
place		Little Haywood
movie		Passage du milieu
drug		Cidomycin
drug		IGIV
place		Thales
place		Wooburn Green
drug		Monistat 3 Dual-Pak
movie		Le Pont du trieur
drug		Citro-Mag 14
movie		Através da Janela
person		Erwin Freundlich
person		Edmund Kirby Smith
person		Stjärnfall
movie		Pesärikko
drug		D.O.S. Softgels 44
place		Hans Reichenbach
drug		Hydropres
company		Templeton Emerging Markets Appreciation Fund, Inc.
movie		Gegenseitiges Beobachten: Handy
movie		Brottsvåg
person		Joan Cusack
movie		Capitanes de abril
drug		Novo-AZT
company		The Gabelli Equity Trust Inc.
movie		Die Blutgräfin
movie		Backyard Dogs
drug		Nucochem Pediatric Expectorant 131
person		Elias Canetti
drug		Ru-Tuss
movie		Elisas univers
place		Gartocharn
person		Joseph Saurin
person		Bob Haggart
drug		Phenazine 25
drug		Criminal Instincts
drug		Dexamethasone Intensol
movie		Catfish Hunter
drug		Xylocaine-MPF
place		Barjac
person		Jean Duhamel
place		Lomalla
movie		Potsdam
movie		Blondine sucht Millionär fürs Leben
movie		Aeon - Countdown im All
movie		Love Inventory
movie		By Player
person		Iurii Linnik
movie		Osobennosti natsionalnoj okhoty v zimnij period
place		Harlingen
movie		Smoke & Mirrors: The Art and Science of Stunts
place		Budleigh Salterton
place		Durrington
place		Branston (Leicestershire)
movie		Denby Dale
person		Tight-Ass Lowriders
movie		Code Unknown: Incomplete Tales of Several Journeys
company		Lyondell Chemical Co.
movie		Battlefield Earth: A Saga for the Year 3000
company		Northwest Natural Gas Company
company		Engelhard Corporation
movie		The Gas Station
movie		Mi amigo
person		Marton Taiga
drug		Dilocaine
place		Vietnam
movie		Requiem for a Dream
company		AEGON N.V.
drug		Children's Formula Cough 109
company		Federal Realty Investment Trust.
drug		Ecostatin Vaginal Ovules
movie		The Van Boys
place		Sutton-on-Hull
movie		Cantamos contigo
place		Faversham
place		Bavandar
place		Ristningar
place		Lohfelden
person		Leo VI
movie		House of Luk
movie		Nikita Blues
place		Taiwan
movie		Usk
company		Espirito Santo Overseas Limited
person		C. Mathewson
drug		Accidental Detective
movie		Garimpeiros
drug		Brotane DX Cough 22
person		Battle Mtn Gold Co
movie		Here on Earth
drug		Tmavomoudrý svet
movie		Dragon Ball Z: The Movie - The World's Strongest
movie		Nova: Lost on Everest
movie		G.
movie		Feu: L'énergie
movie		Persian Series #7
movie		WWF No Mercy
drug		RSV-IGIV
movie		Hemyock
movie		Kamen Rider Kuuga
movie		The Barber
person		Joe Medwick
drug		Clearasil Maximum Strength Medicated Anti-Acne 10 Vanishing Cream
person		John Tukey
place		Dunchurch
company		Orbital Engine Corporation Ltd.
person		James K. Polk
drug		Replete with Fiber
drug		Demi-Regroton
drug		Pro-Cal-Sof 44
drug		Polygam S/D
movie		Black Cocksmokers
drug		Corte
movie		Dixie Chicks On the Fly
drug		Nu-Nifed
movie		Le Harem de Mme Osmane
movie		Stimate Nasal Spray
movie		Fansidar
drug		Apo-Gain
person		Carl Ferdinand Cori
drug		Calmylin Original with Codeine 12
movie		Deep in the Woods
movie		Counting Days
drug		Acet-2
drug		Di-Sosul Forte 38
place		Bulgaria
place		Crillon le Brave
drug		Gen-Allerate
person		Innocent II
drug		Liquid-Cal
company		Teens Get Real
company		Merck & Co Inc.
movie		Dodd's Pills
drug		Prop-a-Hist 14
drug		RLH
movie		Rock Story
movie		O Fantasma
drug		Rep-Pred 40
drug		Abu-d Dardaa
place		Neuroforte-R
person		Sam Walton
place		Rennes-le-Château
company		Cbl & Associates Properties Inc.
movie		T'en as?
place		Whitby
place		Cooranbong
movie		La Fausse suivante
place		Twente
company		Fleetwood Enterprises Inc.
company		Sunbeam Corporation
place		Baarn
person		John Brown Gordon
person		Joyeuse
movie		Eerie Valley Appointment
company		CompX International Inc.
place		Wrightington Bar
drug		Guaifed 142
person		Benjamin Banneker
movie		On the Road
movie		Caracas amor a muerte
company		HALO Industries Inc.
drug		Melrose
person		Mr. Wong
drug		Robitussin Pediatric Cough & Cold 121
place		Allegra
drug		Idamycin
movie		Nihon kuroshakai
place		Burgh Heath
place		Bernt Holmboe
drug		Naprosyn-E 13
drug		Havant
movie		Things You Can Tell Just by Looking at Her
place		Purmerend
drug		Dimetapp Cold & Fever Suspension
drug		Barbita
place		Warlingham
drug		Robitussin-PE 142
company		Jostens Inc.
movie		La Proc
place		La Trinité-sur-Mer
drug		Ed A-Hist 10
drug		Nalex 142
place		Chatsworth
person		Public Canings
place		Pre-Attain
movie		Transcension
person		Lars Olof Nathan Söderblom
drug		Starforce
drug		Piloptic-3
movie		Une jeune fille à la fenêtre
movie		Sunkist
company		Bad Actors
company		Amcol International Corporation
place		Arbois
company		Kansas City Southern Industies Inc.
place		Monica
place		Babs
person		William Winstanley
movie		ECW: Anarchy Rulz
person		William Buckland
drug		Cortone Acetate
movie		King's Lynn
company		Enesco Group Inc.
person		Iréneé-Jules Bienaymé
movie		Palavra e Utopia
drug		Nupercainal Cream
person		Pierre de Maupertuis
person		Gerhard Gentzen
movie		Cool Women
person		Amelia Earhart
person		Roy Rogers
movie		Shanghai Noon
movie		Wanna See Me Pee?
person		Horace Smith-Dorrien
place		Friesthorpe
place		Thyrar
movie		Brat 2
place		Bierton
company		Best Buy Co.
movie		Army Men: World War
movie		Jaaaaam
place		Erkrath
person		Anne Heche
movie		You Made It
drug		Transportadora de Gas del Sur
place		Anna
place		Green Point
drug		Gen-Cromoglycate
drug		Liqui-Char
drug		Serono
drug		Airgas On-line
movie		Curtain Call
movie		La Traviata à Paris
company		Van Kampen Senior Income Trust
movie		Hotaru
person		Marcel Grossmann
person		John Slidell
movie		Da Hip Hop Witch
movie		Dalziel and Pascoe: Above the Law
person		Violence On Violence
place		Ambonnay
place		Castleford
movie		Be Cool
company		Chris Craft Industries Inc.
movie		Saint Vincent and The Grenadines
company		Colonial Properties Trust
movie		Solomon Lefschetz
person		Bill Pullman
place		Issigeac
movie		Dinner for Two
movie		Missing Pieces
person		They Will Laugh
place		Bridgwater
place		Cleckheaton
company		Putnam Master Intermediate Income Trust
place		Wellington
company		Rohm & Haas Co.
movie		Blue August
place		Contamines-Montjoie
person		William Burnside
movie		Nine Queens
place		Omsk
place		Suckerpunch
drug		Telebras HOLDRs
person		Otto Graham
drug		Hi-Cor 1.0
company		UniSource Energy Corporation
person		Citizen James
drug		Citrocarbonate
company		Chelsea Property Group, Inc.
movie		Shikari
movie		Ghosthunter
movie		Emmy Noether
place		Thomas Heatherington
movie		Louis Arbogast
person		Charles Delaunay
drug		Mogadon 13
company		Enterprises Products Partners L.P
movie		Merrem I.V.
place		Chesham
movie		Kate Winslet
drug		Tonocard
place		Dogwatch
company		Verizon Communications
drug		Actigall
person		Edward Drinker Cope
drug		Novahistine DM w/ Decongestant 121
place		Weesp
company		União de Bancos Brasileiros S.A (Unibanco)
movie		The Real Flying Tigers
place		Evesham
drug		CoSudafed 120
movie		Proclus Diadochus
drug		Novo-Digoxin
place		Manly
movie		Death of a Saleswoman
place		Garsington
person		Karl Rahner
person		Hans Baldung Grien
place		Pendle Hill
drug		Gundle Slt Environmental
drug		Stulex 44
movie		Die Zehn Gebote der Kreativität
person		Robert D. Cabana
place		Great Bookham
person		Yudell Luke
person		Paul II
place		La Villa
drug		Isocaine
movie		Liberty Ppty Tr
person		Christina Ricci
company		Grubb & Ellis Co.
movie		Seuls, ensemble
drug		Otrivin Nasal Drops
company		Bny Cap Ii
person		Gabriel Koenigs
place		Conamara
drug		Militia
movie		Olé!
drug		Ocu-Sul-30
person		John Leland
company		Sierra Pac Pwr Cap I
place		L'Attrape-rêves
company		BRT Realty Trust.
drug		Coppertone Sport Ultra Sweatproof 41
movie		As Terças da Bailarina Gorda
place		LiebesLuder
company		Rayonier Inc.
place		Stopar
place		Épouse-moi
place		Ponce
person		Alan Baker
movie		Family Pack
person		Norman E. Thagard
company		Cabletron Systems Inc.
movie		La Confusion des genres
movie		Cocozza's Way
place		Vanishing Point
company		Mettler Toledo International Inc.
place		Berrima
drug		Easprin
movie		Aerines siopes
movie		Comed Financing
movie		Ray Schalk
person		Niels Henrik Abels
movie		At Any Cost
movie		Lion of Oz
place		Plastic Castles
place		Spennymoor
movie		Aitanic
person		Michael Faraday
place		Amélia
drug		Activase
place		Reutlingen
drug		Oxycodone with APAP
person		Elie Wiesel
drug		Sulfolax 44
company		Twin Disc Inc.
person		Theodosius of Bithynia
drug		Benylin 4 Flu 136
company		Consolidated Edison Inc.
person		Pierre Wantzel
movie		Andrew Dice Clay: Banned for Life
place		Brixham
drug		Megral
person		Head Cheerleader Dead Cheerleader
movie		Camera Obscura
movie		East of West
place		Canvey Island
movie		Brothers
movie		Mord im Swingerclub
movie		Urimed
place		Lyon
drug		Marco
drug		Trazon
place		Charlwood
company		Highwoods Properties Inc
place		Levbid
place		High Halstow
movie		Stars Sing The Beatles
drug		PMS-Dimenhydrinate
movie		Half-Life: Counter-Strike
person		Michael A. Baker
place		Bournemouth
drug		Carnage Road
drug		Dura-Vent 141
person		Iivo Härkönen
movie		Bosnia and Herzegovina
movie		Rosamunde Pilcher - Zeit der Erkenntnis
drug		DTIC-Dome
movie		Halfway There
place		Beers
drug		Feldene 16
movie		Great Idea
company		lehman Brothers Holdings Capital.
movie		La Pomme, la figue et l'amande
place		Zir-e poost-e shahr
movie		Protagonisti, i diritti del '900
movie		The Courage to Love
drug		THA
movie		Rocks at Whiskey Trench
drug		Neo-Fer
movie		Obra maestra
movie		The Corrs: Unplugged
drug		Senexon 35
movie		Other Girls
drug		Tylenol Sinus Medication Regular Strength Caplets
drug		Duosol 44
company		Talbots Inc.
place		Betnesol
drug		Nu-Naprox 13
movie		Where the Money Is
movie		The Opportunists
person		Hermann Kober
person		Elizabeth Virginia Wallace Truman
movie		2000 + 1 stigmes
drug		Anne 3
drug		Motorcycle
person		Marilyn Horne
place		Puddletown
person		Francois Tisserand
person		St. Celestine I
person		Kevin Costner
person		Simone Martini
person		Frank McCourt
person		Frédéric Bazille
drug		Midahist DH 32
movie		Autumn in New York
place		Allay
company		Venator Group Inc.
company		Fletcher challenge Limited (FFS.A)
drug		Desenex Antifungal Liquid
place		Saint-Gilles-Croix-de-Vie
drug		S&P Global 100 Index
drug		Salagen
person		Wilcannia
person		Ned Kelly
company		Terra Nitrogen Co. LP
